timestamp,gpu_temp,gpu_power,vram_pct,gpu_pct,ram_used_gb,ram_free_gb
20:42:01,23.0,16.038,N/A,65,11,30
20:42:31,23.0,18.053,N/A,65,12,29
20:43:02,24.0,18.071,N/A,65,12,29
20:43:32,26.0,18.048,N/A,65,13,28
20:44:02,25.0,18.067,N/A,65,13,28
20:44:32,26.0,18.089,N/A,65,13,27
20:45:02,26.0,18.085,N/A,65,13,27
20:45:32,27.0,19.02,N/A,65,13,26
20:46:02,28.0,18.062,N/A,65,13,26
20:46:32,28.0,18.067,N/A,65,14,26
20:47:02,28.0,19.001,N/A,65,14,25
20:47:32,28.0,18.042,N/A,65,14,25
20:48:02,29.0,19.002,N/A,65,14,24
20:48:32,29.0,19.006,N/A,65,13,24
20:49:03,30.0,19.096,N/A,65,13,23
20:49:33,30.0,19.033,N/A,65,13,23
20:50:03,30.0,16.04,N/A,65,13,22
20:50:33,29.0,13.022,N/A,65,12,23
20:51:03,29.0,13.076,N/A,65,12,23
20:51:33,28.0,14.046,N/A,65,12,23
20:52:03,28.0,13.093,N/A,65,12,23
20:52:33,28.0,13.024,N/A,65,12,23
20:53:03,28.0,14.009,N/A,65,12,23
20:53:33,28.0,14.084,N/A,65,12,23
20:54:03,27.0,13.024,N/A,65,12,23
20:54:33,27.0,13.074,N/A,65,12,23
20:55:04,27.0,13.057,N/A,65,12,23
20:55:34,27.0,13.089,N/A,65,12,23
20:56:04,27.0,13.091,N/A,65,12,23
20:56:34,28.0,13.063,N/A,65,12,23
20:57:04,27.0,13.089,N/A,65,12,23
20:57:34,27.0,13.025,N/A,65,12,23
20:58:04,27.0,13.067,N/A,65,12,23
20:58:34,27.0,13.078,N/A,65,12,23
20:59:04,26.0,13.024,N/A,65,12,23
20:59:34,26.0,13.023,N/A,65,12,23
21:00:04,27.0,18.045,N/A,65,12,22
21:00:35,27.0,16.082,N/A,65,12,23
21:01:05,26.0,13.068,N/A,65,12,23
21:01:35,27.0,13.025,N/A,65,12,23
21:02:05,27.0,13.096,N/A,65,12,23
21:02:35,26.0,13.082,N/A,65,12,23
21:03:05,27.0,18.02,N/A,65,12,22
21:03:35,27.0,13.067,N/A,65,12,22
21:04:05,27.0,13.07,N/A,65,12,22
21:04:35,26.0,13.079,N/A,65,12,22
21:05:05,26.0,13.062,N/A,65,12,22
21:05:35,27.0,13.049,N/A,65,12,22
21:06:06,26.0,13.061,N/A,65,12,22
